Time [s], Analyzer Name, Decoded Protocol Result
2.433890220000000,SPI,MOSI: 0x18E0000;  MISO: 0x3FEFFFF
2.434527580000000,SPI,MOSI: 0x18F0000;  MISO: 0x3FEFFFF
2.435187940000000,SPI,MOSI: 0x1900000;  MISO: 0x3FE0010
2.435838300000000,SPI,MOSI: 0x1910000;  MISO: 0x3FEA707
2.436482660000000,SPI,MOSI: 0x1920000;  MISO: 0x3FEDA99
2.437126040000000,SPI,MOSI: 0x1930000;  MISO: 0x3FEB0CA
2.437794380000000,SPI,MOSI: 0x1940000;  MISO: 0x3FEFF9D
2.438433740000000,SPI,MOSI: 0x1950000;  MISO: 0x3FEFD00
2.439080100000000,SPI,MOSI: 0x1960000;  MISO: 0x3FE5EF1
2.439723480000000,SPI,MOSI: 0x1970000;  MISO: 0x3FEFF4E
2.440387820000000,SPI,MOSI: 0x1980000;  MISO: 0x3FEFFFF
2.441024200000000,SPI,MOSI: 0x1990000;  MISO: 0x3FEFFFF
2.441661560000000,SPI,MOSI: 0x19A0000;  MISO: 0x3FEFFFF
2.442298940000000,SPI,MOSI: 0x19B0000;  MISO: 0x3FEFFFF
2.442959300000000,SPI,MOSI: 0x19C0000;  MISO: 0x3FEFFFF
2.443596660000000,SPI,MOSI: 0x19D0000;  MISO: 0x3FEFFFF
2.444235040000000,SPI,MOSI: 0x19E0000;  MISO: 0x3FEFFFF
2.444873400000000,SPI,MOSI: 0x19F0000;  MISO: 0x3FEFFFF
2.445534760000000,SPI,MOSI: 0x1A00000;  MISO: 0x3FEFFFF
2.446170140000000,SPI,MOSI: 0x1A10000;  MISO: 0x3FEFFFF
2.446806500000000,SPI,MOSI: 0x1A20000;  MISO: 0x3FEFFFF
2.447442880000000,SPI,MOSI: 0x1A30000;  MISO: 0x3FEFFFF
2.448102240000000,SPI,MOSI: 0x1A40000;  MISO: 0x3FEFFFF
2.448738600000000,SPI,MOSI: 0x1A50000;  MISO: 0x3FEFFFF
2.449375980000000,SPI,MOSI: 0x1A60000;  MISO: 0x3FEFFFF
2.450013360000000,SPI,MOSI: 0x1A70000;  MISO: 0x3FEFFFF
2.450673700000000,SPI,MOSI: 0x1A80000;  MISO: 0x3FEFFFF
2.451310080000000,SPI,MOSI: 0x1A90000;  MISO: 0x3FEFFFF
2.451947440000000,SPI,MOSI: 0x1AA0000;  MISO: 0x3FEFFFF
2.452584820000000,SPI,MOSI: 0x1AB0000;  MISO: 0x3FEFFFF
2.453245180000000,SPI,MOSI: 0x1AC0000;  MISO: 0x3FEFFFF
